model,experiment,window_index,time_center_s,phase,y_true,score,score_threshold,anomaly_index,auc_roc_macro,auc_pr_macro
ae_denso,F1L,161,3.229704903687775,pre_fault,0,1.291658639907837,5.104478359222412,0.2530441880226135,0.7739583991468245,0.8618504150911235
ae_denso,F1L,162,3.2497029565348,pre_fault,0,0.6056059002876282,5.104478359222412,0.11864207684993744,0.7739583991468245,0.8618504150911235
ae_denso,F1L,163,3.269701009381815,pre_fault,0,0.7379873394966125,5.104478359222412,0.14457644522190094,0.7739583991468245,0.8618504150911235
ae_denso,F1L,164,3.289698915605875,pre_fault,0,0.4039439260959625,5.104478359222412,0.07913520187139511,0.7739583991468245,0.8618504150911235
ae_denso,F1L,165,3.3096969684529,pre_fault,0,0.4076099991798401,5.104478359222412,0.07985340803861618,0.7739583991468245,0.8618504150911235
ae_denso,F1L,166,3.329695021299915,pre_fault,0,1.5156868696212769,5.104478359222412,0.29693275690078735,0.7739583991468245,0.8618504150911235
ae_denso,F1L,167,3.34970099178706,pre_fault,0,1.4956691265106201,5.104478359222412,0.2930111587047577,0.7739583991468245,0.8618504150911235
ae_denso,F1L,168,3.369706962274205,pre_fault,0,0.4242772161960602,5.104478359222412,0.08311862498521805,0.7739583991468245,0.8618504150911235
ae_denso,F1L,169,3.3897050151212254,pre_fault,0,0.8013399839401245,5.104478359222412,0.15698763728141785,0.7739583991468245,0.8618504150911235
ae_denso,F1L,170,3.40970306796825,pre_fault,0,0.43331751227378845,5.104478359222412,0.08488967269659042,0.7739583991468245,0.8618504150911235
ae_denso,F1L,171,3.4297011208152703,pre_fault,0,0.34645622968673706,5.104478359222412,0.06787299364805222,0.7739583991468245,0.8618504150911235
ae_denso,F1L,172,3.449699173662295,pre_fault,0,3.8572468757629395,5.104478359222412,0.7556593418121338,0.7739583991468245,0.8618504150911235
ae_denso,F1L,173,3.4696972265093153,pre_fault,0,8.688467025756836,5.104478359222412,1.702126383781433,0.7739583991468245,0.8618504150911235
ae_denso,F1L,174,3.4896952793563347,pre_fault,0,0.9619096517562866,5.104478359222412,0.18844425678253174,0.7739583991468245,0.8618504150911235
ae_denso,F1L,175,3.509693185580395,pre_fault,0,0.9605885744094849,5.104478359222412,0.188185453414917,0.7739583991468245,0.8618504150911235
ae_denso,F1L,176,3.5296912384274197,pre_fault,0,1.0846182107925415,5.104478359222412,0.21248365938663483,0.7739583991468245,0.8618504150911235
ae_denso,F1L,177,3.5496892912744347,pre_fault,0,1.0804765224456787,5.104478359222412,0.21167227625846863,0.7739583991468245,0.8618504150911235
